treat,age,hisp,black,married,educ,nodegr,re19,re20,re22
1,29,0,1,1,10.0,0,29746,29264,42603
0,48,1,0,0,8.8,0,52483,53521,35774
0,21,0,0,1,10.0,0,45359,45151,48387
0,50,0,0,1,7.0,0,51840,50980,41323
0,49,1,0,1,6.8,0,39985,38499,39940
1,39,0,1,1,10.0,0,27869,27846,49591
1,53,0,0,1,8.0,0,49772,49367,38876
1,22,0,0,1,13.0,0,27889,25204,46152
0,33,1,0,1,7.8,0,22260,21689,38599
0,19,0,1,1,7.0,0,31921,33464,37601
1,32,0,0,1,13.0,0,48205,48707,36333
1,26,0,0,1,9.0,0,51305,51927,36524
0,41,0,0,1,13.0,0,37284,37382,47094
1,64,0,0,0,12.0,0,39553,39122,51938
0,26,0,1,1,13.0,0,58662,57426,43352
1,30,0,1,0,7.0,0,58387,58205,42487
1,52,1,1,1,10.8,0,28432,28556,36138
0,42,0,0,1,12.0,0,25109,24381,41151
1,30,0,0,0,8.0,0,45659,45752,33976
0,35,0,1,0,13.0,0,40317,40993,42526
0,56,1,0,0,8.8,0,39258,38674,41343
1,22,0,0,1,7.0,1,36438,35708,41092
0,64,1,0,0,7.8,0,35507,36189,40049
1,48,1,0,1,11.8,0,53745,54833,44262
1,32,0,0,1,13.0,0,30857,30287,41996
0,60,1,0,0,9.8,0,37494,38188,42827
0,54,0,0,0,8.0,0,26947,26780,41245
1,49,0,0,0,9.0,0,52983,53348,41687
0,40,0,0,0,13.0,0,43912,43237,45390
0,54,1,0,0,11.8,0,41988,39563,47176
1,33,0,0,1,12.0,0,34145,35188,46292
0,35,1,1,1,11.8,0,43279,41016,42019
0,24,1,0,1,9.8,1,44731,45538,49634
0,62,0,0,1,9.0,0,24609,24471,44976
1,60,0,0,0,7.0,0,21563,22126,39468
1,29,0,0,0,13.0,0,54118,54978,40695
0,58,0,0,0,9.0,0,54895,55298,46598
0,26,1,1,0,7.8,1,43974,44791,40823
1,31,1,1,1,8.8,0,25908,25636,41403
1,29,0,0,0,10.0,0,56310,55773,48914
0,60,1,1,0,6.8,0,25034,24976,46520
1,34,1,0,1,10.8,0,59707,60119,48988
1,42,0,0,1,12.0,0,59345,58766,54367
0,59,1,0,0,12.8,0,33096,32198,43941
1,49,0,0,1,10.0,0,23283,23770,46828
0,52,0,0,1,7.0,0,20439,21539,38231
0,40,1,1,0,7.8,0,58922,58705,40352
0,57,1,0,1,6.8,0,22450,22149,39096
0,45,0,0,1,7.0,1,42936,42551,36644
0,50,1,0,0,11.8,0,54838,56217,44167
0,34,0,0,0,7.0,1,44482,46077,36425
0,29,0,1,0,12.0,0,43152,41952,36397
1,59,0,0,1,7.0,0,39359,38739,42001
1,50,1,0,0,9.8,0,24176,23720,48105
1,24,1,0,1,12.8,0,29988,30260,42736
0,50,0,0,0,12.0,0,32518,31678,44574
1,58,0,0,1,10.0,0,48675,47157,44128
0,34,0,0,0,10.0,0,49542,49420,40811
1,56,0,1,0,11.0,0,47984,47389,36447
0,46,0,0,1,12.0,0,22551,21887,45974
1,42,0,1,1,12.0,0,37726,38146,47824
0,23,0,0,1,13.0,1,22813,21810,39585
0,35,0,0,1,8.0,0,20609,20570,41455
0,47,0,0,1,7.0,0,30575,29950,38395
0,33,1,1,1,12.8,0,26455,27043,46365
0,21,0,1,1,10.0,0,50399,50098,33683
0,37,1,0,0,10.8,0,37702,37361,42383
0,45,0,1,0,10.0,0,28827,30108,43960
0,32,0,0,0,10.0,0,35729,34716,40271
0,36,0,1,1,8.0,0,54352,54523,35165
1,41,0,0,1,12.0,0,23742,23305,49575
1,38,0,0,0,12.0,0,59294,60604,45126
1,27,1,0,1,6.8,0,35460,34258,44327
1,27,0,0,1,10.0,0,26633,26719,45442
0,27,0,0,1,7.0,0,33759,31740,41256
0,45,0,1,0,13.0,0,58793,58989,44529
1,60,0,0,1,11.0,0,43615,45157,49634
0,25,0,0,1,7.0,0,38972,40428,41962
1,32,0,1,1,12.0,0,53801,53930,51117
0,22,0,0,1,8.0,0,37492,37136,34078
0,55,0,0,0,13.0,0,55668,56678,43172
1,41,1,0,0,10.8,0,20512,21189,46718
1,29,1,0,0,6.8,0,28825,29333,36678
1,62,0,1,0,11.0,0,30069,31629,42625
0,59,0,0,0,12.0,0,54184,56041,41534
0,57,1,0,0,12.8,0,58427,60052,39171
1,24,0,0,1,9.0,0,43180,44749,41525
1,20,0,0,1,12.0,1,25105,23603,40235
0,57,1,0,0,10.8,0,51784,54375,36505
0,25,1,0,1,9.8,1,38869,40826,41286
0,24,0,0,1,7.0,0,57968,58555,39126
0,45,0,0,1,7.0,0,32875,32916,34971
0,47,0,0,0,10.0,0,28213,29100,39897
1,37,0,0,1,8.0,0,43820,42650,40573
1,24,1,1,1,7.8,0,31479,31710,35825
0,32,0,0,1,8.0,0,34765,35031,46401
1,59,0,1,0,7.0,0,43786,41504,44537
1,63,1,0,1,9.8,0,22232,21197,47494
1,55,0,0,1,11.0,0,20088,20091,43696
1,60,0,0,0,7.0,0,20412,19902,43600
1,25,0,0,1,8.0,0,29604,30239,42442
1,37,0,0,1,12.0,0,59350,59051,40777
0,39,0,0,1,8.0,0,54926,55202,43358
0,39,0,0,0,10.0,0,54176,55423,45325
0,32,0,0,1,10.0,0,33123,32540,43886
1,19,0,0,1,13.0,0,25947,26759,47447
0,61,1,0,0,11.8,0,32045,30529,44021
0,45,0,0,1,10.0,0,57451,56786,34296
0,51,1,1,0,10.8,0,58750,59362,36934
1,48,1,0,0,8.8,0,45774,45125,46385
0,61,0,1,0,7.0,0,45867,45929,39063
1,27,0,0,0,7.0,0,45715,45801,48583
1,62,0,0,0,12.0,0,53285,54653,39729
1,44,0,0,1,12.0,0,39488,39561,47758
0,31,0,0,0,9.0,0,53110,50618,42342
1,37,0,0,1,12.0,0,59223,59128,44750
1,43,0,0,1,11.0,0,39489,38446,47584
1,40,1,0,1,11.8,0,44009,44259,42273
0,64,0,0,1,12.0,0,48672,49534,49602
1,35,0,0,0,7.0,0,53249,53228,34344
0,57,0,1,0,11.0,0,57395,56977,44845
1,34,0,0,1,11.0,0,42879,42726,45540
0,60,0,0,0,9.0,0,58361,58376,46556
0,20,0,0,0,8.0,1,57580,57464,37771
0,44,0,0,0,9.0,0,30598,30790,36404
1,35,0,0,1,12.0,0,53427,53398,41633
0,22,0,0,1,7.0,0,32035,31214,40506
1,44,0,0,1,13.0,0,25691,25996,46973
0,52,0,0,0,8.0,0,57050,56806,44912
0,29,1,0,1,7.8,1,37850,38329,41576
0,36,1,1,0,10.8,0,36479,35285,35389
0,45,0,0,1,10.0,0,27211,28725,46097
1,52,1,1,0,9.8,0,22057,21733,46624
0,55,0,0,0,11.0,0,22077,19978,42414
0,61,0,1,0,10.0,0,41846,40811,37749
0,37,0,0,1,10.0,1,35854,35718,45548
0,49,0,1,1,9.0,0,49869,49931,41374
1,49,1,0,0,6.8,0,23158,23524,45559
1,48,0,0,0,12.0,0,24375,24710,45060
0,56,1,0,0,11.8,0,51492,51448,50418
1,39,0,0,0,12.0,0,24982,25326,43364
0,30,0,1,1,11.0,1,35767,37153,38507
0,64,0,0,0,7.0,0,40146,41934,36460
0,32,0,0,1,12.0,0,38157,37714,35645
1,47,0,0,1,11.0,0,34725,35696,46838
0,25,0,0,1,10.0,0,22597,23484,39627
1,49,0,0,1,7.0,0,46783,47578,45149
0,35,1,1,1,12.8,0,46782,47308,47274
0,52,0,0,0,12.0,0,44467,45553,42795
0,30,0,0,0,11.0,0,42965,43196,37557
0,57,1,0,0,10.8,0,46073,48967,42710
1,59,0,0,0,8.0,0,22700,24329,41627
1,24,0,1,1,9.0,1,36773,35145,41983
0,46,0,0,0,11.0,0,55647,57062,44055
1,22,0,0,1,7.0,0,44676,44328,41401
1,61,1,0,0,7.8,0,57494,59148,52756
1,63,1,0,0,9.8,0,47814,46743,43475
0,54,0,1,0,11.0,0,40330,40910,50485
0,55,0,1,0,11.0,0,58416,58804,49144
0,54,0,0,1,10.0,0,32889,34798,45877
0,19,0,0,1,11.0,1,42210,40685,40771
1,53,1,1,1,9.8,0,34169,35925,45011
0,25,0,1,1,10.0,0,29524,29272,41230
0,61,0,1,1,11.0,0,46638,46613,46908
1,33,0,0,1,10.0,0,59482,59009,42968
0,46,0,0,0,13.0,0,41810,41557,38276
1,18,0,1,0,8.0,0,54164,52369,47317
1,39,0,0,1,8.0,0,39731,39494,45247
0,49,0,1,0,12.0,0,38327,39478,43920
0,46,0,1,0,11.0,0,26605,27092,39534
1,61,0,0,0,11.0,0,26118,27157,48789
1,28,0,0,0,9.0,0,29985,29874,43761
0,32,0,0,0,12.0,0,59613,59710,45012
0,19,0,0,1,8.0,1,39812,39502,38870
0,59,0,0,1,12.0,0,30775,31493,46427
0,59,0,1,0,12.0,0,38898,38996,38743
0,52,0,1,0,11.0,0,46437,47677,42771
1,22,1,1,1,7.8,0,36363,35349,41455
0,22,1,0,1,6.8,0,21765,20849,31432
1,26,0,0,0,7.0,0,56037,56144,42785
1,20,1,0,1,9.8,0,53793,54598,38980
1,27,0,0,0,7.0,0,29043,31139,44726
0,62,0,1,1,9.0,0,46171,46564,46542
1,54,1,0,0,8.8,1,55975,55483,46353
1,49,0,0,0,7.0,0,43706,44613,39237
0,63,0,0,0,10.0,0,38820,39046,46038
0,53,0,1,0,9.0,0,55359,54730,46012
0,44,0,1,1,9.0,0,38898,36637,34961
0,41,0,1,0,9.0,0,20475,20490,46757
1,47,1,0,1,10.8,0,41530,42172,44671
1,59,0,0,0,9.0,0,39068,39155,42397
1,20,0,0,1,13.0,0,26251,28554,44249
0,58,0,1,0,7.0,0,54217,51774,43595
0,18,1,0,1,6.8,0,59696,58266,40119
0,58,0,0,0,8.0,0,30379,30445,32785
0,43,1,0,1,8.8,0,21485,21116,39483
1,62,0,0,1,8.0,0,37029,36464,43231
1,31,0,1,1,12.0,0,22814,22543,46615
0,38,0,1,1,12.0,1,37910,38615,45189
1,50,0,0,0,12.0,0,42142,41744,41563
1,49,1,1,0,9.8,0,58521,58359,47711
0,36,0,0,0,10.0,0,32680,33427,38351
0,55,0,0,0,11.0,0,33277,33120,46731
1,44,0,0,0,8.0,0,57002,55284,41604
0,51,0,0,0,12.0,0,39950,40816,48174
0,64,1,0,1,7.8,0,42085,40600,46280
1,21,0,0,1,10.0,0,30938,32758,34449
0,57,1,0,0,8.8,1,21841,21846,44088
0,18,1,0,1,8.8,0,46800,45568,40932
1,31,0,0,1,11.0,0,40719,40313,36649
0,34,1,0,1,9.8,0,23448,23016,41317
0,28,0,0,0,12.0,0,36316,36295,44258
0,58,0,0,0,13.0,0,39227,38274,44935
0,42,1,0,0,8.8,0,27392,27630,46122
0,62,0,0,1,9.0,0,26106,23747,47887
0,40,0,1,1,8.0,0,41775,42718,40638
1,45,0,0,0,13.0,0,46294,46510,46383
0,42,0,0,1,10.0,0,43446,43068,34530
0,41,0,1,1,13.0,0,50509,50108,40082
0,39,0,0,1,9.0,0,26741,25603,41866
1,20,0,1,1,8.0,1,34308,35037,47007
0,27,1,1,1,8.8,0,44978,45843,36905
0,36,0,0,1,7.0,0,46559,47938,39618
1,23,1,1,1,9.8,0,30080,29976,40016
0,64,0,1,1,7.0,0,55277,54542,41136
0,58,0,0,1,9.0,0,40064,39777,42069
0,26,0,0,0,9.0,0,27857,27666,35829
0,43,0,0,0,9.0,0,58316,59494,42619
1,35,0,1,1,12.0,0,37732,39883,44335
0,44,0,0,0,7.0,0,36317,36004,39179
0,62,0,0,0,11.0,0,57388,58254,46401
1,54,0,0,1,9.0,0,35763,36536,46964
0,59,1,0,0,12.8,0,53796,54358,44373
0,32,0,1,1,10.0,0,30411,29481,43428
0,39,0,0,1,11.0,0,33934,33197,47445
1,30,0,0,0,10.0,0,51016,50095,42086
1,39,0,0,0,7.0,1,57895,57544,41203
0,28,1,1,1,12.8,0,38645,38042,35450
1,20,0,0,1,11.0,0,29943,30987,44620
1,40,0,0,1,9.0,0,32889,33535,44219
1,19,0,1,1,9.0,0,53097,53722,40800
